"Tax Calculation Based On","Cálculo de imposto baseada em"
"Tax Calculation Method Based On","Método de cálculo de imposto baseado em"
"Tax Class for Shipping","Classe de taxa para envio"
"Tax Classes","Classes de impostos"
"Tax Identifier","Identificador do imposto"
"Tax Rate","Taxa de imposto"
"Tax Rate Information","Informações da taxa de imposto"
"Tax Rule Information","Informações da regra de imposto"
"Tax Rules","Regras de impostos"
"Tax Section","Seção de imposto"
"Tax Titles","Título do imposto"
"Tax rates at the same priority are added, others are compounded.","Taxas de impostos na mesma prioridade são adicionados, outros são agravados."
"The tax class has been deleted.","A classe de imposto foi excluída."
"The tax class has been saved.","A classe de imposto foi salva."
"The tax rate has been deleted.","A taxa de imposto foi excluída."
"The tax rate has been imported.","A taxa de imposto foi importada."
"The tax rate has been saved.","A taxa de imposto foi salva."
"The tax rule has been deleted.","A regra de imposto foi excluída."
"The tax rule has been saved.","A regra de imposto foi salva."
"This class no longer exists","Esta classe não existe mais"
"This rule no longer exists","Esta regra não existe mais"
"This rule no longer exists.","Esta regra não existe mais."
"Total","Total"
"Unit Price","Preço unitário"
"Whether catalog prices entered by admin include tax.","Se os preços do catálogo inseridos pelo admin incluirem impostos."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Se os valores de envio inseridos pelo admin ou obtidos dos gateways incluirem impostos."
"XML","XML"
"Yes","Sim"
"You cannot delete this tax class as it is used for %d customer groups.","Você não pode excluir esta classe de imposto pois ela é usada por %d grupos de clientes."
"You cannot delete this tax class as it is used for %d products.","Você não pode excluir esta classe de imposto pois ela é usada por %d produtos."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Você não pode excluir esta classe de imposto pois ela é usada em regras de impostos. Você tem que excluir as regras onde ela é usada primeiro."
"Zip/Post Code","CEP"
"Zip/Post is Range","CEP é a faixa"
